VALUE,EVT_FUEL,EVT_FUEL_N,R,G,B,RED,GREEN,BLUE
2680,2680,Sh Alaskan Pacific Maritime Avalanche Slope Shrubland,146,237,224,0.57254,0.92941,0.87843
2681,2681,Tr Alaskan Pacific Poorly Drained Conifer Woodland,79,36,26,0,0.141176,0.101961
2682,2682,Sh North American Arctic Scrub Birch-Ericaceous Shrubland,212,129,34,1,1,0
2683,2683,Sh North American Arctic Mesic Sedge-Willow Tundra,194,68,21,0.760784,0.266667,0.082353
2684,2684,Sh Alaska Arctic Mesic Sedge-Dryas Tundra,194,68,21,0.76078,0.26666,0.08235
2685,2685,Sps Alaska Arctic Acidic Sparse Tundra,255,102,0,1,0.4,0
2686,2686,Sps Alaska Arctic Non-Acidic Sparse Tundra,255,102,0,1,0.4,0
2687,2687,He North American Arctic Lichen Tundra,255,37,13,1,0,0
2688,2688,Sh Alaska Arctic Acidic Dryas Dwarf-Shrubland,255,102,0,1,0.4,0
2689,2689,Sh Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,255,102,0,1,0.4,0
2690,2690,Sh Alaska Arctic Dwarf-Shrubland,255,102,0,1,0.4,0
2691,2691,Sh Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra,255,37,13,1,0.14509,0.05098
2692,2692,Sh Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra,255,37,13,1,0.14509,0.05098
2699,2699,He North American Arctic Mesic Herbaceous Meadow,255,85,33,1,0,0
2701,2701,Sh Alaska Arctic Coastal Sedge-Dwarf-Shrubland,255,205,112,1,1,0
2704,2704,Sh Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,255,37,13,1,0,0
2709,2709,He Alaska Arctic Marine Beach and Beach Meadow,255,0,0,1,0,0
2710,2710,Sps Alaska Arctic Tidal Flat,255,153,10,1,1,0
2714,2714,Tr Alaska Arctic Large River Floodplain,18,76,135,0,0,1
2715,2715,Sh Alaska Arctic Floodplain,18,76,135,0,0,1
2718,2718,Sh Aleutian Mesic Alder-Salmonberry Shrubland,146,237,224,0.57254,0.92941,0.87843
2719,2719,Sh Aleutian Crowberry-Herbaceous Heath,79,36,26,0.3098,0.14117,0.10196
2720,2720,Sh Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,212,129,34,0.83137,0.50588,0.13333
2721,2721,He Western North American Boreal Mesic Bluejoint-Forb Meadow,255,25,8,1,0,0
2725,2725,He Aleutian Marine Beach and Beach Meadow,255,0,0,1,0,0
2730,2730,Sps Aleutian Sparse Heath and Fell-Field,79,36,26,0.3098,0.14117,0.10196
2731,2731,Sh Aleutian Oval-leaf Blueberry Shrubland,73,175,188,0.28627,0.68627,0.73725
2736,2736,Sps Unconsolidated Shore,100,100,100,0,0.392157,0.392157
2737,2737,Sps North American Glacial Outwash,100,100,100,0,0,0
2740,2740,He Boreal Aquatic Beds,255,153,0,1,0.6,0
2741,2741,He Polar Tidal Marshes and Aquatic Beds,255,153,10,1,0.6,0.03921
2742,2742,"He Temperate Pacific Tidal Marshes, Aquatic Beds, and Intertidal Flats",255,153,10,1,0.6,0.03921
2743,2743,He Aleutian Herbaceous Wetlands,255,153,0,1,0.6,0
2744,2744,He Arctic Herbaceous Wetlands,255,153,0,1,0.6,0
2745,2745,He Boreal Herbaceous Wetlands,255,205,112,1,0.80392,0.43921
2746,2746,He Pacific Maritime Herbaceous Wetlands,255,153,0,1,0.6,0
2747,2747,Sh Arctic Sedge Meadows,255,205,112,1,0.80392,0.43921
2748,2748,Tr Western North American Boreal Mesic White Spruce Forest,182,250,227,1,1,1
2749,2749,He Pacific Maritime Coastal Meadows and Slough-Levee,255,0,0,1,0,0
2750,2750,Tr Alaska Sub-boreal White Spruce-Hardwood Forest,159,255,128,0.62352,1,0.50196
2751,2751,Tr Boreal Coniferous Woody Wetland,79,36,26,0.3098,0.14117,0.10196
2752,2752,Tr Pacific Maritime Coniferous Woody Wetland,79,36,26,0.3098,0.14117,0.10196
2753,2753,Tr Boreal Coniferous-Deciduous Woody Wetland,182,250,227,0.71372,0.98039,0.89019
2756,2756,Sh Arctic Dwarf Shrub Wetland,255,205,112,1,0.80392,0.43921
2757,2757,Sh Boreal Dwarf Shrub Wetland,150,58,12,0.58823,0.22745,0.04705
2758,2758,Sh Pacific Maritime Dwarf Shrub Wetland,150,58,12,0.58823,0.22745,0.04705
2761,2761,Tr Aleutian Floodplains,255,153,0,1,0.6,0
2762,2762,Sh Arctic Floodplains,18,76,135,0.07058,0.29803,0.52941
2763,2763,Tr Boreal Floodplains,18,76,135,0.07058,0.29803,0.52941
2764,2764,Tr Pacific Maritime Floodplains,18,76,135,0.07058,0.29803,0.52941
2771,2771,Sh Aleutian Peatlands,133,39,8,0.52156,0.15294,0.03137
2772,2772,Sh Arctic Peatlands,133,39,8,0.52156,0.15294,0.03137
